date,region,cases,import_status
2020-04-02,AGUASCALIENTES,11.0,local
2020-04-03,AGUASCALIENTES,1.0,local
2020-04-04,AGUASCALIENTES,1.0,local
2020-04-05,AGUASCALIENTES,0.0,local
2020-04-06,AGUASCALIENTES,0.0,local
2020-04-07,AGUASCALIENTES,4.0,local
2020-04-08,AGUASCALIENTES,0.0,local
2020-04-09,AGUASCALIENTES,0.0,local
2020-04-10,AGUASCALIENTES,0.0,local
2020-04-11,AGUASCALIENTES,2.0,local
2020-04-12,AGUASCALIENTES,0.0,local
2020-04-13,AGUASCALIENTES,0.0,local
2020-04-14,AGUASCALIENTES,10.0,local
2020-04-15,AGUASCALIENTES,0.0,local
2020-04-16,AGUASCALIENTES,6.0,local
2020-04-17,AGUASCALIENTES,6.0,local
2020-04-18,AGUASCALIENTES,0.0,local
2020-04-19,AGUASCALIENTES,4.0,local
2020-04-20,AGUASCALIENTES,0.0,local
2020-04-21,AGUASCALIENTES,0.0,local
2020-04-22,AGUASCALIENTES,19.0,local
2020-04-23,AGUASCALIENTES,6.0,local
2020-04-24,AGUASCALIENTES,40.0,local
2020-04-25,AGUASCALIENTES,1.0,local
2020-04-26,AGUASCALIENTES,1.0,local
2020-04-27,AGUASCALIENTES,13.0,local
2020-04-28,AGUASCALIENTES,6.0,local
2020-04-29,AGUASCALIENTES,18.0,local
2020-04-30,AGUASCALIENTES,20.0,local
2020-05-01,AGUASCALIENTES,19.0,local
2020-05-02,AGUASCALIENTES,29.0,local
2020-05-03,AGUASCALIENTES,12.0,local
2020-05-04,AGUASCALIENTES,21.0,local
2020-05-05,AGUASCALIENTES,3.0,local
2020-05-06,AGUASCALIENTES,3.0,local
2020-05-07,AGUASCALIENTES,0.0,local
2020-05-08,AGUASCALIENTES,9.0,local
2020-05-09,AGUASCALIENTES,2.0,local
2020-05-10,AGUASCALIENTES,27.0,local
2020-05-11,AGUASCALIENTES,22.0,local
2020-05-12,AGUASCALIENTES,30.0,local
2020-05-13,AGUASCALIENTES,16.0,local
2020-05-14,AGUASCALIENTES,9.0,local
2020-05-15,AGUASCALIENTES,36.0,local
2020-05-16,AGUASCALIENTES,-1.0,local
2020-05-17,AGUASCALIENTES,30.0,local
2020-05-18,AGUASCALIENTES,5.0,local
2020-05-19,AGUASCALIENTES,38.0,local
2020-05-20,AGUASCALIENTES,43.0,local
2020-05-21,AGUASCALIENTES,28.0,local
2020-05-22,AGUASCALIENTES,23.0,local
2020-05-23,AGUASCALIENTES,5.0,local
2020-05-24,AGUASCALIENTES,2.0,local
2020-05-25,AGUASCALIENTES,33.0,local
2020-05-26,AGUASCALIENTES,27.0,local
2020-05-27,AGUASCALIENTES,40.0,local
2020-04-01,BAJA CALIFORNIA,-679.0,local
2020-04-02,BAJA CALIFORNIA,1.0,local
2020-04-03,BAJA CALIFORNIA,11.0,local
2020-04-04,BAJA CALIFORNIA,5.0,local
2020-04-05,BAJA CALIFORNIA,15.0,local
2020-04-06,BAJA CALIFORNIA,43.0,local
2020-04-07,BAJA CALIFORNIA,22.0,local
2020-04-08,BAJA CALIFORNIA,90.0,local
2020-04-09,BAJA CALIFORNIA,14.0,local
2020-04-10,BAJA CALIFORNIA,20.0,local
2020-04-11,BAJA CALIFORNIA,21.0,local
2020-04-12,BAJA CALIFORNIA,57.0,local
2020-04-13,BAJA CALIFORNIA,31.0,local
2020-04-14,BAJA CALIFORNIA,44.0,local
2020-04-15,BAJA CALIFORNIA,52.0,local
2020-04-16,BAJA CALIFORNIA,41.0,local
2020-04-17,BAJA CALIFORNIA,30.0,local
2020-04-18,BAJA CALIFORNIA,74.0,local
2020-04-19,BAJA CALIFORNIA,71.0,local
2020-04-20,BAJA CALIFORNIA,61.0,local
2020-04-21,BAJA CALIFORNIA,174.0,local
2020-04-22,BAJA CALIFORNIA,71.0,local
2020-04-23,BAJA CALIFORNIA,90.0,local
2020-04-24,BAJA CALIFORNIA,81.0,local
2020-04-25,BAJA CALIFORNIA,41.0,local
2020-04-26,BAJA CALIFORNIA,74.0,local
2020-04-27,BAJA CALIFORNIA,30.0,local
2020-04-28,BAJA CALIFORNIA,90.0,local
2020-04-29,BAJA CALIFORNIA,104.0,local
2020-04-30,BAJA CALIFORNIA,62.0,local
2020-05-01,BAJA CALIFORNIA,12.0,local
2020-05-02,BAJA CALIFORNIA,13.0,local
2020-05-03,BAJA CALIFORNIA,78.0,local
2020-05-04,BAJA CALIFORNIA,148.0,local
2020-05-05,BAJA CALIFORNIA,181.0,local
2020-05-06,BAJA CALIFORNIA,108.0,local
2020-05-07,BAJA CALIFORNIA,79.0,local
2020-05-08,BAJA CALIFORNIA,100.0,local
2020-05-09,BAJA CALIFORNIA,89.0,local
2020-05-10,BAJA CALIFORNIA,63.0,local
2020-05-11,BAJA CALIFORNIA,20.0,local
2020-05-12,BAJA CALIFORNIA,128.0,local
2020-05-13,BAJA CALIFORNIA,188.0,local
2020-05-14,BAJA CALIFORNIA,92.0,local
2020-05-15,BAJA CALIFORNIA,184.0,local
2020-05-16,BAJA CALIFORNIA,128.0,local
2020-05-17,BAJA CALIFORNIA,87.0,local
2020-05-18,BAJA CALIFORNIA,75.0,local
